Unknown,"BXP,"Boston
2015,Henry Schein, New York"
2015,J.B. Hunt, Arkansas"
2015,News Corp (Class B), New York"
2015,PayPal, California"
2015,Realty Income, California"
2015,Skyworks Solutions, California"
2015,Synchrony Financial, Connecticut"
2015,United Airlines Holdings, Illinois"
2015,Verisk Analytics, New Jersey"
2016,Albemarle Corporation, North Carolina"
2016,Alliant Energy, Wisconsin"
2016,American Water Works, New Jersey"
2016,Arthur J. Gallagher & Co., Illinois"
2016,Centene Corporation, Missouri"
2016,Charter Communications, Connecticut"
2016,Citizens Financial Group, Rhode Island"
2016,Cooper Companies (The), California"
2016,Digital Realty, Texas"
2016,Dominion Energy, Virginia"
2016,Extra Space Storage, Utah"
2016,Federal Realty Investment Trust, Maryland"
2016,Fortive, Washington"
2016,Global Payments, Georgia"
2016,Howmet Aerospace, Pennsylvania"
2016,Mettler Toledo, Ohio"
2016,Mid-America Apartment Communities, Tennessee"
2016,TransDigm Group, Ohio"
2016,Ulta Beauty, Illinois"
2016,Willis Towers Watson, United Kingdom"
2017,A. O. Smith, Wisconsin"
2017,Advanced Micro Devices, California"
2017,Alexandria Real Estate Equities, California"
2017,Align Technology, Arizona"
2017,Baker Hughes, Texas"
2017,Cadence Design Systems, California"
2017,Cboe Global Markets, Illinois"
2017,Everest Group, Bermuda"
2017,Gartner, Connecticut"
2017,Idexx Laboratories, Maine"
2017,Incyte, Delaware"
2017,IQVIA, North Carolina"
2017,MGM Resorts, Nevada"
2017,Packaging Corporation of America, Illinois"
2017,Raymond James Financial, Florida"
2017,Regency Centers, Florida"
2017,ResMed, California"
2017,SBA Communications, Florida"
2017,Sempra, California"
2017,Synopsys, California"
2018,Arista Networks, California"
2018,Broadridge Financial Solutions, New York"
2018,Copart, Texas"
2018,Corpay, Georgia"
2018,Diamondback Energy, Texas"
2018,Evergy, Missouri"
2018,Fortinet, California"
2018,Huntington Ingalls Industries, Virginia"
2018,Jack Henry & Associates, Missouri"
2018,Keysight Technologies, California"
2018,MSCI Inc., New York"
2018,Take-Two Interactive, New York"
2019,Atmos Energy, Texas"
2019,CDW Corporation, Illinois"
2019,Corteva, Indiana"
2019,Dow Inc., Michigan"
2019,DuPont, Delaware"
2019,Fox Corporation (Class A), New York"
2019,Fox Corporation (Class B), New York"
2019,IDEX Corporation, Illinois"
2019,Las Vegas Sands, Nevada"
2019,Leidos, Virginia"
2019,Live Nation Entertainment, California"
2019,Old Dominion, North Carolina"
2019,ServiceNow, California"
2019,Steris, Ireland"
2019,T-Mobile US, Washington"
2019,T. Rowe Price, Maryland"
2019,W. R. Berkley Corporation, Connecticut"
2019,Wabtec, Pennsylvania"
2019,Zebra Technologies, Illinois"
2020,Carrier Global, Florida"
2020,Dexcom, California"
2020,Domino's, Michigan"
2020,Ingersoll Rand, North Carolina"
2020,Otis Worldwide, Connecticut"
2020,Teledyne Technologies, California"
2020,Teradyne, Massachusetts"
2020,Tyler Technologies, Texas"
2020,West Pharmaceutical Services, Pennsylvania"
2021,Bio-Techne, Minnesota"
2021,Brown & Brown, Florida"
2021,Charles River Laboratories, Massachusetts"
2021,FactSet, Connecticut"
2021,Generac, Wisconsin"
2021,Moderna, Massachusetts"
2021,Monolithic Power Systems, Washington"
2021,NXP Semiconductors, Netherlands"
2021,PTC Inc., Massachusetts"
2021,Trimble Inc., Colorado"
2022,Arch Capital Group, Bermuda"
2022,Camden Property Trust, Texas"
2022,Constellation Energy, Maryland"
2022,CoStar Group, D.C."
2022,EQT Corporation, Pennsylvania"
2022,First Solar, Arizona"
2022,Invitation Homes, Texas"
2022,Keurig Dr Pepper, Massachusetts"
2022,Nordson Corporation, Ohio"
2022,ON Semiconductor, Arizona"
2022,PG&E Corporation, California"
2022,Steel Dynamics, Indiana"
2022,Targa Resources, Texas"
2022,Vici Properties, New York"
2022,Warner Bros. Discovery, New York"
2023,Axon Enterprise, Arizona"
2023,Blackstone Inc., New York"
2023,Builders FirstSource, Texas"
2023,Bunge Global, Missouri"
2023,Fair Isaac, Montana"
2023,GE HealthCare, Illinois"
2023,Hubbell Incorporated, Connecticut"
2023,Insulet Corporation, Massachusetts"
2023,Jabil, Florida"
2023,Kenvue, New Jersey"
2023,Palo Alto Networks, California"
2023,Uber, California"
2023,Veralto, Massachusetts"
2024,Apollo Global Management, New York"
2024,CrowdStrike, Texas"
2024,Deckers Brands, California"
2024,Erie Indemnity, Pennsylvania"
2024,GE Vernova, Massachusetts"
2024,GoDaddy, Arizona"
2024,KKR & Co., New York"
2024,Lennox International, Texas"
2024,Palantir Technologies, Florida"
2024,Smurfit Westrock, Ireland"
2024,Solventum, Minnesota"
2024,Texas Pacific Land Corporation, Texas"
2024,Vistra Corp., Texas"
2025,"Block,none
2025,AppLovin, California"
2025,Ares Management, California"
2025,Carvana, Arizona"
2025,Coinbase, New York"
2025,Comfort Systems USA, Texas"
2025,CRH plc, Ireland"
2025,Datadog, New York"
2025,DoorDash, California"
2025,Emcor, Connecticut"
2025,Expand Energy, Oklahoma"
2025,Interactive Brokers, Connecticut"
2025,Qnity Electronics, Delaware"
2025,Robinhood Markets, California"
2025,TKO Group Holdings, New York"
2025,Trade Desk (The), California"
2026,Casey's, Iowa"
2026,Ciena, Maryland"
2026,Coherent Corp., Pennsylvania"
2026,EchoStar, Colorado"
2026,FedEx Freight, Tennessee"
2026,Flex Ltd., Texas"
2026,Honeywell Aerospace, Arizona"
2026,Lumentum, California"
2026,Marvell Technology, California"
2026,Veeva Systems, California"
2026,Vertiv, Ohio"
